falsePositiveRate truePositiveRate threshold
0.000000000000000000e+00 0.000000000000000000e+00 1.999999999396896877e+00
0.000000000000000000e+00 9.345794392523363789e-03 9.999999993968968770e-01
0.000000000000000000e+00 9.813084112149532690e-01 6.269622990145603536e-01
4.056795131845841729e-03 9.813084112149532690e-01 5.556780342698358632e-01
4.056795131845841729e-03 9.906542056074766345e-01 2.382552834876729697e-01
7.910750507099391371e-02 9.906542056074766345e-01 5.941946283068644946e-03
7.910750507099391371e-02 1.000000000000000000e+00 5.348780156193261477e-03
9.797160243407707636e-01 1.000000000000000000e+00 1.100967663901635534e-07
1.000000000000000000e+00 1.000000000000000000e+00 1.000000099473604149e-07
